Name,Category,NAV,Date
Aditya Birla Sun Life Multi-Cap Fund-Direct Growth,Equity Scheme - Multi Cap Fund,20.57,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout,Equity Scheme - Multi Cap Fund,19.35,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,Equity Scheme - Multi Cap Fund,19.53,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Multi-Cap Fund-Regular-IDCW Payout,Equity Scheme - Multi Cap Fund,18.38,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,Equity Scheme - Large Cap Fund,564.66,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Frontline Equity Fund-DIRECT - IDCW,Equity Scheme - Large Cap Fund,103.96,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Frontline Equity Fund-Growth,Equity Scheme - Large Cap Fund,513.42,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Frontline Equity Fund-Regular - IDCW,Equity Scheme - Large Cap Fund,43.74,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Equity Advantage Fund - Growth - Direct Plan,Equity Scheme - Large & Mid Cap Fund,970.64,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,Equity Scheme - Large & Mid Cap Fund,877.66,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Equity Advantage Fund -Direct - IDCW,Equity Scheme - Large & Mid Cap Fund,208.02,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,Equity Scheme - Large & Mid Cap Fund,136.12,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan,Equity Scheme - Mid Cap Fund,864.11,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Midcap Fund -DIRECT - IDCW,Equity Scheme - Mid Cap Fund,105.53,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Midcap Fund -REGULAR - IDCW,Equity Scheme - Mid Cap Fund,62.22,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life MIDCAP Fund-Growth,Equity Scheme - Mid Cap Fund,780.35,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Small Cap Fund - GROWTH,Equity Scheme - Small Cap Fund,86.2933,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Small Cap Fund - Growth - Direct Plan,Equity Scheme - Small Cap Fund,97.3335,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Small Cap Fund -Direct - IDCW,Equity Scheme - Small Cap Fund,72.6593,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Small Cap Fund -Regular - IDCW,Equity Scheme - Small Cap Fund,37.9821,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Dividend Yield Fund - Growth - Direct Plan,Equity Scheme - Dividend Yield Fund,509.5,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Dividend Yield Fund - Growth - Regular Plan,Equity Scheme - Dividend Yield Fund,466.62,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Dividend Yield Fund -DIRECT - IDCW,Equity Scheme - Dividend Yield Fund,52.72,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Dividend Yield Fund -REGULAR - IDCW,Equity Scheme - Dividend Yield Fund,29.23,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Pure Value Fund - Direct - IDCW,Equity Scheme - Value Fund,81.9241,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Pure Value Fund - Growth - Direct Plan,Equity Scheme - Value Fund,143.9987,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Pure Value Fund - Growth Option,Equity Scheme - Value Fund,128.681,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Pure Value Fund - Regular - IDCW,Equity Scheme - Value Fund,45.1609,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Focused Fund - Growth - Direct Plan,Equity Scheme - Focused Fund,156.1686,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Focused Fund -Direct - IDCW,Equity Scheme - Focused Fund,59.3887,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Focused Fund -Growth Option,Equity Scheme - Focused Fund,139.5701,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Focused Fund -Regular - IDCW,Equity Scheme - Focused Fund,25.3836,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Banking and Financial Services Fund - DIRECT - IDCW,Equity Scheme - Sectoral/ Thematic,31.31,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,61.82,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Banking and Financial Services Fund - REGULAR - IDCW,Equity Scheme - Sectoral/ Thematic,23.31,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,Equity Scheme - Sectoral/ Thematic,55.48,"Fri, 25 Oct 2024 00:00:00"
Aditya Birla Sun Life Business Cycle Fund-Direct Growth,Equity Scheme - Sectoral/ Thematic,15.67,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Business Cycle Fund-Direct IDCW Payout,Equity Scheme - Sectoral/ Thematic,15.67,"Thu, 24 Oct 2024 00:00:00"
Aditya Birla Sun Life Business Cycle Fund-Regular IDCW Payout,Equity Scheme - Sectoral/ Thematic,15.04,"Thu, 24 Oct 2024 00:00:00"
